,Country,Region,Happiness Score,Healthy Life Expectancy
106,Pakistan,South Asia,5.472465515,57.33160782
107,Palestinian Territories,Middle East and North Africa,4.743304253,62.95491028
108,Panama,Latin America and Caribbean,6.430038929,67.87735748
109,Paraguay,Latin America and Caribbean,5.680560112,63.35182571
110,Peru,Latin America and Caribbean,5.663168907,65.20940399
111,Philippines,Southeast Asia,5.524094582000001,60.12985229
112,Poland,Central and Eastern Europe,6.123031139,68.57077789
113,Portugal,Western Europe,5.410372257000001,71.80517578
114,Qatar,Middle East and North Africa,6.3745293620000005,67.53752136
115,Romania,Central and Eastern Europe,5.945211887,66.85708618
116,Russia,Commonwealth of Independent States,5.809670925,62.83291626
117,Rwanda,Sub-Saharan Africa,3.408091784,56.58612061
118,Saudi Arabia,Middle East and North Africa,6.370938301,63.93116379
119,Senegal,Sub-Saharan Africa,4.63109827,57.63000488
120,Serbia,Central and Eastern Europe,5.398180485,65.5536499
121,Sierra Leone,Sub-Saharan Africa,4.570586205,43.99452591
122,Singapore,Southeast Asia,6.34320116,75.72083282
123,Slovakia,Central and Eastern Europe,6.173422337000001,68.42314148
124,Slovenia,Central and Eastern Europe,5.947597504,70.94329071
125,Somalia,Sub-Saharan Africa,4.981533527,47.62682343
126,South Africa,Sub-Saharan Africa,4.7239937780000005,54.38080597
127,South Korea,East Asia,5.874896049,74.04169464
128,South Sudan,Sub-Saharan Africa,3.2541620730000003,49.57999039
129,Spain,Western Europe,6.309878349,74.36348724
130,Sri Lanka,South Asia,4.470594883,65.14221191
131,Sudan,Sub-Saharan Africa,4.138672829,53.82001114
132,Sweden,Western Europe,7.314524174,72.74526978
133,Switzerland,Western Europe,7.48731184,73.17375946
134,Syria,Middle East and North Africa,3.46191287,60.95451355
135,Taiwan Province of China,East Asia,6.440559864,70.97997284
136,Tajikistan,Commonwealth of Independent States,5.3525295260000005,62.81214523
137,Tanzania,Sub-Saharan Africa,3.303536177,55.99565125
138,Thailand,Southeast Asia,6.07228756,66.23813629
139,Togo,Sub-Saharan Africa,3.9985008239999997,51.95452881
140,Trinidad and Tobago,Latin America and Caribbean,6.191859722,61.73831177
141,Tunisia,Middle East and North Africa,4.592365742,65.72196198
142,Turkey,Middle East and North Africa,5.48250246,65.5740509
143,Turkmenistan,Commonwealth of Independent States,5.636222363,60.25896454
144,Uganda,Sub-Saharan Africa,4.160773754,51.45369339
145,Ukraine,Commonwealth of Independent States,4.102899075,63.17077637
146,United Arab Emirates,Middle East and North Africa,6.774069309,68.42332458
147,United Kingdom,Western Europe,6.814331055,71.79316711
148,United States,North America and ANZ,6.886040211,69.7709198
149,Uruguay,Latin America and Caribbean,6.378826141,68.24829865
150,Uzbekistan,Commonwealth of Independent States,6.096068382,63.03148651
151,Venezuela,Latin America and Caribbean,4.80555439,64.67490387
152,Vietnam,Southeast Asia,5.103246212,66.07466125
153,Yemen,Middle East and North Africa,3.354937792,54.79708099
154,Zambia,Sub-Saharan Africa,4.377130032,53.26426315
155,Zimbabwe,Sub-Saharan Africa,3.6922857760000003,51.796772
