Africa,Western Africa,Benin,WPB-ICPR,,,,5834.00,,6083.00,,6908.00,,,,7067.00,,,,,,,71.00,,69.94,,75.09,,,,68.70,,
Americas,Northern America,Bermuda,UN-CTS/WPB-ICPR,325.00,364.00,,305.00,,,278.00,,,252.00,,230.00,209.00,,,501.00,559.44,,468.78,,,432.33,,,398.87,,368.70,337.08,
Asia,Southern Asia,Bhutan,UN-CTS/WPB-ICPR,,,,,,,,,1001.00,1087.00,1084.00,1119.00,,,,,,,,,,,,135.18,144.36,141.71,144.12,,
Americas,South America,Bolivia (Plurinational State of),UN-CTS/WPB-ICPR,6768.00,6495.00,7310.00,7358.00,7588.00,7433.00,8087.00,8930.00,11195.00,14272.00,14004.00,14220.00,13672.00,16038.00,,76.82,72.43,80.11,79.26,80.37,77.43,82.87,90.04,111.08,139.39,134.65,134.63,127.48,147.29
Europe,Southern Europe,Bosnia and Herzegovina,UN-CTS/WPB-ICPR,,2405.00,,2493.00,,2660.00,,2743.00,2757.00,2928.00,2898.00,2825.00,2730.00,,,,63.60,,65.96,,70.68,,73.70,74.74,80.26,80.39,79.22,77.21,
Africa,Southern Africa,Botswana,UN-CTS/WPB-ICPR,5890.00,10911.00,9778.00,9788.00,8912.00,8865.00,8706.00,7005.00,4712.00,4241.00,3826.00,4131.00,3960.00,,,326.44,596.45,526.87,519.47,465.52,455.47,439.72,347.67,229.70,202.99,179.75,190.49,179.25,
Americas,South America,Brazil,UN-CTS/WPB-ICPR,284989.00,336358.00,361402.00,401236.00,422590.00,451219.00,491482.00,513954.00,534605.00,570318.00,606208.00,607731.00,698618.00,726712.00,,156.17,182.07,193.35,212.28,221.22,233.82,252.18,261.16,269.07,284.36,299.50,297.60,339.20,350.15
Americas,Caribbean,British Virgin Islands,WPB-ICPR,,,105.00,,,117.00,,117.00,,138.00,,119.00,,,,,,453.21,,,456.96,,429.77,,484.06,,402.19,,
Asia,South-Eastern Asia,Brunei Darussalam,UN-CTS/WPB-ICPR,457.00,443.00,492.00,522.00,486.00,453.00,,379.00,,485.00,,594.00,565.00,,,129.32,123.22,134.74,140.99,129.65,119.45,,97.51,,121.33,,144.28,135.32,
Europe,Eastern Europe,Bulgaria,UN-CTS,10066.00,10871.00,11436.00,11058.00,10271.00,9408.00,9006.00,9379.00,9885.00,9493.00,8834.00,7870.00,7408.00,7345.00,,128.99,140.39,148.83,145.02,135.74,125.27,120.79,126.66,134.38,129.86,121.58,108.97,103.21,103.02
Africa,Western Africa,Burkina Faso,UN-CTS/WPB-ICPR,,2799.00,3315.00,3108.00,4207.00,4801.00,,5198.00,5039.00,5035.00,,6827.00,7544.00,,,,21.48,24.70,22.47,29.52,32.68,,33.31,31.33,30.38,,38.82,41.66,
Africa,Eastern Africa,Burundi,UN-CTS/WPB-ICPR,7913.00,7526.00,7167.00,8277.00,8343.00,9927.00,10816.00,9823.00,10432.00,6369.00,7784.00,7565.00,9228.00,10127.00,,113.81,104.78,96.55,107.84,105.08,120.88,127.41,112.05,115.35,68.34,81.08,76.48,90.48,96.02
Africa,Western Africa,Cabo Verde,WPB-ICPR,,,,,,,1300.00,,,1348.00,1434.00,,,1569.00,,,,,,,,261.59,,,262.27,275.71,,,290.67
Asia,South-Eastern Asia,Cambodia,WPB-ICPR,,6778.00,8160.00,10338.00,10337.00,11688.00,,14043.00,,15397.00,,15182.00,,,,,51.89,61.49,76.72,75.58,84.20,,98.14,,104.20,,99.42,,
Africa,Middle Africa,Cameroon,UN-CTS/WPB-ICPR,20000.00,,22734.00,,,,23368.00,23766.00,22812.00,22891.00,25314.00,25909.00,26702.00,,,121.11,,130.50,,,,120.25,119.01,111.17,108.58,116.89,116.50,116.94,
Americas,Northern America,Canada,UN-CTS,34153.00,33849.10,35032.00,37452.00,38419.00,39050.00,38804.00,39489.00,40229.00,40718.00,37864.00,40663.00,41145.00,37864.00,,107.98,105.95,108.50,114.72,116.35,116.90,114.84,115.57,116.48,116.67,107.40,114.21,114.45,104.36
Americas,Caribbean,Cayman Islands,WPB-ICPR,,188.00,,210.00,,203.00,,212.00,,185.00,,186.00,,,,,397.47,,419.74,,383.55,,381.93,,321.61,,314.34,,
Africa,Middle Africa,Central African Republic,WPB-ICPR,,,1000.00,,1233.00,,2145.00,,845.00,,,,764.00,,,,,24.23,,28.84,,48.70,,18.88,,,,16.81,
Africa,Middle Africa,Chad,WPB-ICPR,,,3416.00,,,,,4775.00,4831.00,,,,,,,,,33.93,,,,,40.17,39.31,,,,,
Americas,South America,Chile,UN-CTS,38086.00,38064.00,38849.00,42532.00,48090.00,53541.00,58044.00,60148.00,59261.00,56372.00,53050.00,49258.00,47772.00,48922.00,,241.06,238.29,240.59,260.62,291.60,321.34,344.90,353.95,345.48,325.67,303.79,279.66,268.95,273.24
Asia,Eastern Asia,China,UN-CTS,1546130.00,1562742.00,1558511.00,1565711.00,1566839.00,1589222.00,1623394.00,1646593.00,1656773.00,1641931.00,1680000.00,1649804.00,1604394.00,1561086.00,,118.36,118.93,117.92,117.79,117.21,118.21,120.07,121.09,121.16,119.40,121.49,118.68,114.84,111.30
Asia,Eastern Asia,"China, Hong Kong Special Administrative Region",UN-CTS,13012.00,12558.00,11530.00,11640.00,11220.00,10738.00,10118.00,10159.00,9294.00,9468.00,9192.00,,,8611.00,,191.84,184.61,168.87,169.67,162.65,154.72,144.89,144.61,131.53,133.23,128.59,,,117.86
Asia,Eastern Asia,"China, Macao Special Administrative Region",UN-CTS/WPB-ICPR,,867.00,897.00,859.00,,912.00,930.00,929.00,1030.00,1112.00,1154.00,1205.00,1280.00,1271.00,,,183.90,185.88,174.13,,177.31,177.04,173.01,187.46,197.68,200.40,204.66,213.00,207.97
Americas,South America,Colombia,UN-CTS,62277.00,68020.00,66829.00,60021.00,63603.00,69979.00,75992.00,84444.00,100451.00,113884.00,120032.00,113623.00,120444.00,118532.00,,147.74,159.21,154.39,136.92,143.33,155.85,167.32,183.90,216.46,242.92,253.54,237.75,249.74,243.76
Africa,Eastern Africa,Comoros,WPB-ICPR,,,,,,,150.00,,,,206.00,,145.00,,,,,,,,,22.28,,,,27.78,,18.65,
Africa,Middle Africa,Congo,WPB-ICPR,,,1550.00,,1642.00,,2410.00,,1400.00,,1500.00,1240.00,,,,,,41.69,,41.30,,56.66,,31.02,,31.57,25.46,,
Oceania,Polynesia,Cook Islands,WPB-ICPR,,,27.00,,26.00,,,40.00,,34.00,,37.00,37.00,,,,,136.99,,133.26,,,215.69,,188.93,,210.37,212.05,
Americas,Central America,Costa Rica,UN-CTS,,9056.00,8818.00,7712.00,7500.00,8225.00,9431.00,10541.00,12154.00,13407.00,13647.00,13854.00,13999.00,13338.00,,,216.29,207.59,178.98,171.65,185.69,210.13,231.91,264.19,288.07,289.97,291.20,291.17,274.72
Africa,Western Africa,Côte d'Ivoire,WPB-ICPR,,,,13385.00,,11143.00,,,,7086.00,,,12147.00,,,,,,71.58,,57.15,,,,33.08,,,52.57,
Europe,Southern Europe,Croatia,UN-CTS,2805.00,3029.00,3485.00,3833.00,4290.00,4734.00,4891.00,5165.00,5084.00,4741.00,4352.00,3763.00,3341.00,3108.00,,63.91,69.09,79.60,87.70,98.34,108.77,112.67,119.33,117.87,110.34,101.73,88.38,78.87,73.79
